CombiBarCode+MRP,company,category,brand,BrandForm,SBF,BarCode,UPC,MRP,SLP,RLP,CountOfMRP,Conversion,Combi,Mono,Units
14987176102024_240,GIL,Grooming,7 O Clock PII,7 Other System Cart,P II Cart,1.49872E+13,600,240,191.99,200,3,Mono,14987176102024_240_Mono,50,12
14987176102079_110,GIL,Grooming,Guard,Guard3 Carts,Guard3 Cart 3s,1.49872E+13,120,110,90.25,94.01,1,Mono,14987176102079_110_Mono,24,5
14987176102079_110,GIL,Grooming,Guard,Guard3 Carts,Guard3 Cart 3s,1.49872E+13,120,110,90.33,94.1,1,Mono,14987176102079_110_Mono,24,5
14987176124613_475,GIL,Female Hair Removal,Venus,Venus Cart,Venus Breeze Cart 2s,1.49872E+13,40,475,399.99,416.67,2,Mono,14987176124613_475_Mono,10,4
14987176151657_130,GIL,Grooming,7 O Clock PII,Other System Rzr,7 o Clock PII Razor,1.49872E+13,144,130,111.43,116.08,1,Mono,14987176151657_130_Mono,12,12
14987176151664_200,GIL,Grooming,Guard,Guard3 Carts,Guard3 Cart 6s,1.49872E+13,128,200,158.67,165.29,1,Mono,14987176151664_200_Mono,16,8
14987176164817_999,GIL,Grooming,Fusion,ProGlide Flexbal Rzr,ProGlide Styler,1.49872E+13,24,999,856.26,891.97,1,Mono,14987176164817_999_Mono,6,4
14987176176629_599,GIL,Female Hair Removal,Venus,Venus Cart,Venus Swirl Cart 2s,1.49872E+13,40,599,504.4,525.43,3,Mono,14987176176629_599_Mono,10,4
14987176179170_675,GIL,Female Hair Removal,Venus,Venus Cart,Venus Cart 4s,1.49872E+13,18,675,568.4,592.1,3,Mono,14987176179170_675_Mono,6,3
14987176179187_375,GIL,Female Hair Removal,Venus,Venus Cart,Venus Cart 2s,1.49872E+13,24,375,315.78,328.95,1,Mono,14987176179187_375_Mono,6,4
14987176223804_1999,GIL,Grooming,Gillette Labs,Labs Carts,Labs Cart 4s,1.49872E+13,60,1999,1713.37,1784.82,1,Mono,14987176223804_1999_Mono,10,6
14987176223828_999,GIL,Grooming,Gillette Labs,Labs Carts,Labs Cart 2s,1.49872E+13,60,999,856.26,891.97,1,Mono,14987176223828_999_Mono,10,6
14987176223842_1499,GIL,Grooming,Gillette Labs,Labs Rzr,Labs Razor,1.49872E+13,24,1499,1284.82,1338.4,1,Mono,14987176223842_1499_Mono,6,4
14987176258141_100,GIL,Grooming,Gillette Presto Intl,GPI,GPI 5s,1.49872E+13,100,100,75.46,78.61,1,Mono,14987176258141_100_Mono,10,10
14987176258158_200,GIL,Grooming,Gillette Presto Intl,GPI,GPI 8+4,1.49872E+13,50,200,150.94,157.23,1,Mono,14987176258158_200_Mono,5,10
14987176273359_175,GIL,Female Hair Removal,Venus,Venus Disposable,Venus Skin Love 1s,1.49872E+13,72,175,147.36,153.5,1,Mono,14987176273359_175_Mono,12,6
14987176278538_49,GIL,Grooming,7 O Clock,7 DE Rzr,SS Rzr,1.49872E+13,144,49,40.55,42.24,1,Mono,14987176278538_49_Mono,12,12
14987176278545_99,GIL,Grooming,7 O Clock,7 DE Rzr,SP Rzr,1.49872E+13,144,99,83.37,86.85,1,Mono,14987176278545_99_Mono,12,12
14987176278569_105,GIL,Grooming,Gillette Vector Plus,Vector Rzr,Vector Rzr,1.49872E+13,144,105,89.99,93.74,1,Mono,14987176278569_105_Mono,12,12
14987176278576_99,GIL,Grooming,Gillette Vector Plus,Vector Cart,Vector 2s,1.49872E+13,600,99,83.09,86.55,1,Mono,14987176278576_99_Mono,50,12
14987176278620_275,GIL,Grooming,Vector3,Vector3 Cart,Vector3 Cart 4s,1.49872E+13,72,275,235.71,245.54,1,Mono,14987176278620_275_Mono,12,6
14987176278637_188,GIL,Grooming,Gillette Vector Plus,Vector Cart,Vector 4s,1.49872E+13,600,188,157.78,164.36,1,Mono,14987176278637_188_Mono,50,12
14987176278651_225,GIL,Grooming,Gillette Mach3,Mach-3 Rzr,Mach3 Hercules,1.49872E+13,36,225,169,176.05,1,Mono,14987176278651_225_Mono,6,6
14987176278651_225,GIL,Grooming,Gillette Mach3,Mach-3 Rzr,Mach3 Hercules,1.49872E+13,36,225,189.47,197.37,1,Mono,14987176278651_225_Mono,6,6
14987176278651_225,GIL,Grooming,Gillette Mach3,Mach-3 Rzr,Mach3 Hercules,1.49872E+13,36,225,192.85,200.89,1,Mono,14987176278651_225_Mono,6,6
14987176280593_150,GIL,Grooming,Guard,Guard Cart,Guard Carts 1s Rs 15,1.49872E+13,240,150,115.2,120,1,Mono,14987176280593_150_Mono,12,20
14987176281224_85,GIL,Personal Care (GIL),Gillette,Gillette Shave Brush,Gil SBR,1.49872E+13,144,85,71.34,74.31,1,Mono,14987176281224_85_Mono,12,12
14987176281231_595,GIL,Personal Care (GIL),Gillette,Gillette Shave Brush,Gil SBR (7+1),1.49872E+13,24,595,499.37,520.19,1,Mono,14987176281231_595_Mono,4,6
14987176282924_425,GIL,Grooming,Fusion,Fusion Raz,Fusion Raz,1.49872E+13,36,425,364.27,379.46,1,Mono,14987176282924_425_Mono,6,6
14987176282931_575,GIL,Grooming,Fusion,ProGlide Flexbal Rzr,ProGlide Flexbal Rzr,1.49872E+13,36,575,492.84,513.39,1,Mono,14987176282931_575_Mono,6,6
14987176282948_575,GIL,Grooming,Fusion,Fusion Raz,Fusion Power Raz,1.49872E+13,36,575,492.84,513.39,1,Mono,14987176282948_575_Mono,6,6
14987176283495_2399,GIL,Grooming,Fusion,Fusion Cart,Fusion Power 8s,1.49872E+13,40,2399,2056.22,2141.96,1,Mono,14987176283495_2399_Mono,10,4
14987176283525_2399,GIL,Grooming,Fusion,ProGlide Cart,ProGlide Cart 8s,1.49872E+13,40,2399,2056.22,2141.96,1,Mono,14987176283525_2399_Mono,10,4
14987176283549_1299,GIL,Grooming,Fusion,ProGlide Cart,ProGlide Cart 4s,1.49872E+13,40,1299,1113.39,1159.82,1,Mono,14987176283549_1299_Mono,10,4
14987176283709_1199,GIL,Grooming,Fusion,Fusion Cart,Fusion 4s,1.49872E+13,40,1199,1027.68,1070.53,2,Mono,14987176283709_1199_Mono,10,4
14987176283716_699,GIL,Grooming,Fusion,Fusion Cart,Fusion Power 2s,1.49872E+13,200,699,599.12,624.1,1,Mono,14987176283716_699_Mono,10,20
14987176286212_75,GIL,Grooming,Gillette Presto Intl,GPI,GPI-B3G1,1.49872E+13,192,75,63.15,65.78,1,Mono,14987176286212_75_Mono,24,8
14987176286823_437,GIL,Grooming,Gillette Mach3,Mach3 H+2 eC,Mach3 H+2 eC,1.49872E+13,24,437,374.56,390.18,1,Mono,14987176286823_437_Mono,6,4
14987176286830_275,GIL,Grooming,Gillette Mach3,Mach-3 Rzr,Mach-3 Rzr,1.49872E+13,36,275,235.71,245.54,1,Mono,14987176286830_275_Mono,6,6
14987176286847_349,GIL,Grooming,Gillette Mach3,Mach-3 Rzr,Mach-3 Charcoal Rzr,1.49872E+13,36,349,299.13,311.6,1,Mono,14987176286847_349_Mono,6,6
14987176286878_399,GIL,Grooming,Mach-3 Turbo,Turbo Mach-3 Rzr,Turbo Mach-3 Rzr Flexi,1.49872E+13,36,399,334.87,348.83,1,Mono,14987176286878_399_Mono,6,6
14987176288261_175,GIL,Grooming,Vector3,Vector3 Razor,Vector3 Rzr,1.49872E+13,30,175,150,156.26,1,Mono,14987176288261_175_Mono,6,5
14987176298192_855,GIL,Female Hair Removal,Venus,Venus Cart,Venus Breeze Cart 4s,1.49872E+13,18,855,719.98,750,1,Mono,14987176298192_855_Mono,6,3
14987176300468_1399,GIL,Grooming,Mach-3 Turbo,Turbo Mach-3 Cart,Turbo Cart 8s,1.49872E+13,36,1399,1209.91,1260.36,1,Mono,14987176300468_1399_Mono,6,6
14987176300475_349,GIL,Grooming,Gillette Mach3,Mach-3 Cart,Mach 3 Cart 2s,1.49872E+13,72,349,299.13,311.6,2,Mono,14987176300475_349_Mono,12,6
14987176300482_660,GIL,Grooming,Gillette Mach3,Mach-3 Cart,Mach 3 Cart 4s,1.49872E+13,48,660,565.7,589.29,2,Mono,14987176300482_660_Mono,6,8
14987176300505_449,GIL,Grooming,Mach-3 Turbo,Turbo Mach-3 Cart,Turbo Cart 2s,1.49872E+13,72,449,380.26,396.12,2,Mono,14987176300505_449_Mono,12,6
14987176300581_745,GIL,Grooming,Mach-3 Turbo,Turbo Mach-3 Cart,Turbo Cart 4s,1.49872E+13,48,745,630.95,657.26,2,Mono,14987176300581_745_Mono,6,8
