COM,ITEM NAME,PCODE,SUBBF,UPC,CS MSU,WGT,volume,MRP,SLP,RLP,SLP2,ORD,CATEGORY,Sum_Scanned_BarCode,Differece,Manually Edited
PGHC,Vaporub 5gm,80835769,Vaporub 5gm,1200,197.668,9.083,24.687,25,20.03,20.87,24036,109,Health Care,#REF!,#REF!,109
PGHC,VAPORUB 25GM,80866102,VAPORUB 25GM,384,123.3745404,12.271,33.22,102,81.71,85.12,31376.64,43,Health Care,#REF!,#REF!,
PGHC,VAPORUB 50GM,80888310,VAPORUB 50GM,180,131.5997263,10.987,25.62,186,148.99,155.2,26818.2,20,Health Care,#REF!,#REF!,
PGHC,Vaporub 5gm RTM,80865309,Vaporub 5gm RTM,64,246.66,7.81,21.047,375,280.36,292.05,17943.04,1,Health Care,#REF!,#REF!,1
PGHC,Vaporub 25gm 22+2 SW,80866100,Vaporub 25gm 22+2 SW,16,123.3745404,12.271,33.22,2448,1797.6,1872.56,28761.6,2,Health Care,#REF!,#REF!,2
PGHC,VAPORUB 50GM SW PROMO,80888308,VAPORUB 50GM SW PROMO,12,131.5997263,10.987,25.62,2790,2085.91,2172.89,25030.92,2,Health Care,#REF!,#REF!,2
PGHC,Vaporub Xtra Strong 10ml,80812662,Vaporub Xtra Strong 10ml,540,219.337,8.116,18.781,55,44.06,45.9,23792.4,18,Health Care,#REF!,#REF!,18
PGHC,A500 ADV N64,80895627,A500 ADV N64,90,10,16.577,105.52,768,496.67,517.38,44700.3,4,Health Care,#REF!,#REF!,4
PGHC,A500 ADV N64 PB,80866095,A500 ADV N64 PB,90,10,18.815,100.07,768,496.67,517.38,44700.3,6,Health Care,#REF!,#REF!,6
PGHC,BabyRub 10 ml,80787545,BabyRub 10 ml,1080,109.667,14.814,37.079,55,44.06,45.9,47584.8,63,Health Care,#REF!,#REF!,63
PGHC,BabyRub 10 ml RTM,80862568,BabyRub 10 ml RTM,144,205.63,9.65,37.74,204,153.8,160.21,22147.2,3,Health Care,#REF!,#REF!,3
PGHC,BABYRUB 25 ML,80862572,BABYRUB 25 ML,216,219.331915,7.132,20.91,117,93.72,97.63,20243.52,18,Health Care,#REF!,#REF!,
PGHC,BabyRub 50 ml,80787543,BabyRub 50 ml,120,197.398,7.217,19.305,215,172.22,179.4,20666.4,1,Health Care,#REF!,#REF!,
PGHC,VCD 175+50 worth Rs 100 off B 2.9gm,80895635,VCD 175+50 worth Rs 100 off B 2.9gm,16,373.57,12.98,50.13,350,280.36,292.05,4485.76,10,Health Care,#REF!,#REF!,10
PGHC,VCD 800+250 worth Rs 500 off B 2.9gm,80881413,VCD 800+250 worth Rs 500 off B 2.9gm,4,320.19,14.57,61.51,1600,1281.67,1335.12,5126.68,3,Health Care,#REF!,#REF!,
PGHC,Vicks Double Power Standee Pouch 25s Ginger,80895628,Vicks Double Power Standee Pouch 25s Ginger,60,896.54,5.81,37.86,50,40.05,41.72,2403,4,Health Care,#REF!,#REF!,
PGHC,ZZZQUIL 10S,80870946,ZZZQUIL 10S,120,179.99856,9.913,53.2,225,180.23,187.75,21627.6,1,Health Care,#REF!,#REF!,
PGHC,Zzzquil 48s,80870940,Zzzquil 48s,48,93.7470704,12.299,65.31,949,760.19,791.89,36489.12,2,Health Care,#REF!,#REF!,
PGHC,whspr Liners 20s,80870015,whspr Liners 20s,18,1000,1,12.1,175,147.36,153.5,2652.48,3,Fem Care,#REF!,#REF!,
PGHC,ASL ORIGINAL 50ML,80830398,ASL ORIGINAL 50ML,72,138.89,10.76,20.21,149,127.71,133.04,9195.12,3,Personal Care (OS),#REF!,#REF!,
PGHC,ASL MUSK 50ML,80830394,ASL MUSK 50ML,72,138.89,10.76,20.21,149,127.71,133.04,9195.12,1,Personal Care (OS),#REF!,#REF!,
PGHC,CREAM MUSK 30G,80818345,CREAM MUSK 30G,144,866.251,6.617,22.848,45,38.57,40.18,5554.08,2,Personal Care (OS),#REF!,#REF!,
PGHC,OS DEO NOMAD,80739413,OS DEO NOMAD,48,105.6546,8.6407,28.644,299,249.59,260,11980.32,1,Personal Care (OS),#REF!,#REF!,
