ScannedBarcode,CountOfMRP,MRP,Conversion,Check MRP,CombiBarCode+MRP,SBF,Category,Picking_Status,CombiBarCode+MRP+Conversion,QtyPicked
4987176238795,#REF!,129,#REF!,OK,4987176238795_129,,,#REF!,#REF!,14
4987176130068,#REF!,70,#REF!,OK,4987176130068_70,,,#REF!,#REF!,0
4987176130068,#REF!,70,#REF!,OK,4987176130068_70,,,#REF!,#REF!,0
4987176130068,#REF!,70,#REF!,OK,4987176130068_70,,,#REF!,#REF!,0
4987176130068,#REF!,70,#REF!,OK,4987176130068_70,,,#REF!,#REF!,0
4987176130068,#REF!,70,#REF!,OK,4987176130068_70,,,#REF!,#REF!,0
4987176360694,#REF!,240,#REF!,OK,4987176360694_240,,,#REF!,#REF!,0
4987176328281,#REF!,220,#REF!,OK,4987176328281_220,,,#REF!,#REF!,0
4987176328281,#REF!,220,#REF!,OK,4987176328281_220,,,#REF!,#REF!,0
4987176356062,#REF!,264,#REF!,OK,4987176356062_264,,,#REF!,#REF!,1
4902430404150,#REF!,26,#REF!,OK,4902430404150_26,,,#REF!,#REF!,11
4987176086518,#REF!,90,#REF!,OK,4987176086518_90,,,#REF!,#REF!,0
4987176086518,#REF!,90,#REF!,OK,4987176086518_90,,,#REF!,#REF!,0
4987176086518,#REF!,90,#REF!,OK,4987176086518_90,,,#REF!,#REF!,0
4987176086518,#REF!,90,#REF!,OK,4987176086518_90,,,#REF!,#REF!,0
4987176024831,#REF!,599,#REF!,OK,4987176024831_599,,,#REF!,#REF!,0
4987176024831,#REF!,599,#REF!,OK,4987176024831_599,,,#REF!,#REF!,0
4987176024831,#REF!,599,#REF!,OK,4987176024831_599,,,#REF!,#REF!,0
4987176024831,#REF!,599,#REF!,OK,4987176024831_599,,,#REF!,#REF!,0
4987176130945,#REF!,266,#REF!,OK,4987176130945_266,,,#REF!,#REF!,0
4987176231765,#REF!,175,#REF!,OK,4987176231765_175,,,#REF!,#REF!,0
4987176231765,#REF!,175,#REF!,OK,4987176231765_175,,,#REF!,#REF!,0
4987176231765,#REF!,175,#REF!,OK,4987176231765_175,,,#REF!,#REF!,0
14987176300482,#REF!,660,#REF!,OK,14987176300482_660,,,#REF!,#REF!,0
4987176030634,#REF!,1200,#REF!,OK,4987176030634_1200,,,#REF!,#REF!,0
14987176300482,#REF!,660,#REF!,OK,14987176300482_660,,,#REF!,#REF!,0
14987176320565,#REF!,40,#REF!,OK,14987176320565_40,,,#REF!,#REF!,0
4987176320568,#REF!,40,#REF!,OK,4987176320568_40,,,#REF!,#REF!,16
4987176300478,#REF!,349,#REF!,OK,4987176300478_349,,,#REF!,#REF!,0
4987176300478,#REF!,349,#REF!,OK,4987176300478_349,,,#REF!,#REF!,0
4987176300478,#REF!,349,#REF!,OK,4987176300478_349,,,#REF!,#REF!,0
4987176300478,#REF!,349,#REF!,OK,4987176300478_349,,,#REF!,#REF!,0
4987176357625,#REF!,1199,#REF!,OK,4987176357625_1199,,,#REF!,#REF!,0
4987176357625,#REF!,1199,#REF!,OK,4987176357625_1199,,,#REF!,#REF!,0
4987176300508,#REF!,449,#REF!,OK,4987176300508_449,,,#REF!,#REF!,0
4987176300508,#REF!,449,#REF!,OK,4987176300508_449,,,#REF!,#REF!,0
4987176300508,#REF!,449,#REF!,OK,4987176300508_449,,,#REF!,#REF!,0
4987176300508,#REF!,449,#REF!,OK,4987176300508_449,,,#REF!,#REF!,0
4987176300508,#REF!,449,#REF!,OK,4987176300508_449,,,#REF!,#REF!,0
4987176300584,#REF!,745,#REF!,OK,4987176300584_745,,,#REF!,#REF!,0
4987176300584,#REF!,745,#REF!,OK,4987176300584_745,,,#REF!,#REF!,0
4987176342645,#REF!,99,#REF!,OK,4987176342645_99,,,#REF!,#REF!,50
4987176311429,#REF!,549,#REF!,OK,4987176311429_549,,,#REF!,#REF!,0
4987176321091,#REF!,175,#REF!,OK,4987176321091_175,,,#REF!,#REF!,0
4987176321091,#REF!,175,#REF!,OK,4987176321091_175,,,#REF!,#REF!,0
4987176176622,#REF!,599,#REF!,OK,4987176176622_599,,,#REF!,#REF!,0
4987176212498,#REF!,150,#REF!,OK,4987176212498_150,,,#REF!,#REF!,40
14987176286830,#REF!,275,#REF!,OK,14987176286830_275,,,#REF!,#REF!,0
4987176286833,#REF!,275,#REF!,OK,4987176286833_275,,,#REF!,#REF!,0
4987176286833,#REF!,275,#REF!,OK,4987176286833_275,,,#REF!,#REF!,0
4987176286833,#REF!,275,#REF!,OK,4987176286833_275,,,#REF!,#REF!,0
4987176286833,#REF!,275,#REF!,OK,4987176286833_275,,,#REF!,#REF!,0
4987176286833,#REF!,275,#REF!,OK,4987176286833_275,,,#REF!,#REF!,0
4987176286871,#REF!,399,#REF!,OK,4987176286871_399,,,#REF!,#REF!,0
4987176286871,#REF!,399,#REF!,OK,4987176286871_399,,,#REF!,#REF!,0
4987176286215,#REF!,75,#REF!,OK,4987176286215_75,,,#REF!,#REF!,0
4987176286215,#REF!,75,#REF!,OK,4987176286215_75,,,#REF!,#REF!,0
4987176286215,#REF!,75,#REF!,OK,4987176286215_75,,,#REF!,#REF!,0
4987176286215,#REF!,75,#REF!,OK,4987176286215_75,,,#REF!,#REF!,0
4987176286215,#REF!,75,#REF!,OK,4987176286215_75,,,#REF!,#REF!,0
4987176286215,#REF!,75,#REF!,OK,4987176286215_75,,,#REF!,#REF!,0
14987176286212,#REF!,75,#REF!,OK,14987176286212_75,,,#REF!,#REF!,0
14987176286212,#REF!,75,#REF!,OK,14987176286212_75,,,#REF!,#REF!,0
14987176286212,#REF!,75,#REF!,OK,14987176286212_75,,,#REF!,#REF!,0
14987176335163,#REF!,98,#REF!,OK,14987176335163_98,,,#REF!,#REF!,0
14987176335163,#REF!,98,#REF!,OK,14987176335163_98,,,#REF!,#REF!,0
4987176335166,#REF!,98,#REF!,OK,4987176335166_98,,,#REF!,#REF!,0
4987176335166,#REF!,98,#REF!,OK,4987176335166_98,,,#REF!,#REF!,0
